Accession,DataID
SRR13327191,data_371
SRR13327190,data_372
SRR13327189,data_373
SRR13327187,data_374
SRR13327186,data_375
SRR17931145,data_379
SRR25445089,data_38
SRR17931144,data_380
SRR17931033,data_381
SRR17931048,data_382
SRR25445092,data_39
SRR28167557,data_4
SRR25445096,data_40
SRR25445097,data_41
SRR25445102,data_42
SRR25445113,data_43
SRR25445117,data_44
SRR25445118,data_45
SRR28167560,data_46
SRR28167563,data_47
SRR28167577,data_48
SRR28167578,data_49
SRR28167567,data_5
SRR28167582,data_50
SRR28824822,data_51
SRR25445075,data_52
SRR25445076,data_53
SRR25445077,data_54
SRR25445082,data_55
SRR25445084,data_56
SRR25445085,data_57
SRR25445090,data_58
SRR25445091,data_59
SRR28167569,data_6
SRR25445094,data_60
SRR25445095,data_61
SRR25445098,data_62
SRR25445099,data_63
SRR25445100,data_64
SRR25445103,data_65
SRR25445105,data_66
SRR25445106,data_67
SRR25445110,data_68
SRR25445111,data_69
SRR28167576,data_7
SRR25445115,data_70
SRR25445116,data_71
ERR3569448,data_72
ERR10710700,data_73
ERR10710703,data_74
SRR14101949,data_75
SRR14116736,data_76
SRR14280111,data_77
SRR14455652,data_78
SRR25445078,data_79
SRR25445127,data_8
SRR25445080,data_80
SRR25445083,data_81
SRR25445086,data_82
SRR25445088,data_83
SRR25445093,data_84
SRR25445101,data_85
SRR25445104,data_86
SRR25445107,data_87
SRR25445109,data_88
SRR25445112,data_89
SRR28167554,data_9
SRR25445114,data_90
ERR3569449,data_91
ERR10710702,data_92
ERR10710705,data_93
ERR10710706,data_94
ERR10710707,data_95
ERR10710709,data_96
SRR8618099,data_97
SRR9017260,data_98
SRR11514880,data_99
