Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
ERR4436596_1	(35, 675.0)	(40, 686.0)	(45, 803.0)	(50, 871.0)	(55, 880.0)	(60, 932.0)	(65, 1036.0)	(70, 1003.0)	(75, 1059.0)	(80, 1068.0)	(85, 1132.0)	(90, 1118.0)	(95, 1142.0)	(100, 1144.0)	(105, 1166.0)	(110, 1189.0)	(115, 1205.0)	(120, 1247.0)	(125, 1258.0)	(130, 1262.0)	(135, 1225.0)	(140, 1268.0)	(145, 1395.0)	(150, 1226.0)	(155, 1256.0)	(160, 1292.0)	(165, 1416.0)	(170, 1365.0)	(175, 1438.0)	(180, 1434.0)	(185, 1384.0)	(190, 1464.0)	(195, 1472.0)	(200, 1492.0)	(205, 1556.0)	(210, 1530.0)	(215, 1506.0)	(220, 1532.0)	(225, 1564.0)	(230, 1615.0)	(235, 1662.0)	(240, 1724.0)	(245, 35364.0)	(250, 427154.0)
ERR4436596_2	(35, 680.0)	(40, 690.0)	(45, 805.0)	(50, 877.0)	(55, 886.0)	(60, 939.0)	(65, 1048.0)	(70, 1012.0)	(75, 1075.0)	(80, 1083.0)	(85, 1148.0)	(90, 1128.0)	(95, 1157.0)	(100, 1159.0)	(105, 1188.0)	(110, 1207.0)	(115, 1223.0)	(120, 1269.0)	(125, 1280.0)	(130, 1279.0)	(135, 1242.0)	(140, 1276.0)	(145, 1407.0)	(150, 1247.0)	(155, 1268.0)	(160, 1304.0)	(165, 1428.0)	(170, 1389.0)	(175, 1455.0)	(180, 1446.0)	(185, 1388.0)	(190, 1471.0)	(195, 1475.0)	(200, 1495.0)	(205, 1563.0)	(210, 1535.0)	(215, 1498.0)	(220, 1546.0)	(225, 1571.0)	(230, 1604.0)	(235, 1645.0)	(240, 1713.0)	(245, 34358.0)	(250, 427753.0)
ERR4436597_1	(35, 857.0)	(40, 902.0)	(45, 964.0)	(50, 996.0)	(55, 1147.0)	(60, 1090.0)	(65, 1194.0)	(70, 1210.0)	(75, 1231.0)	(80, 1280.0)	(85, 1295.0)	(90, 1352.0)	(95, 1380.0)	(100, 1363.0)	(105, 1409.0)	(110, 1463.0)	(115, 1545.0)	(120, 1479.0)	(125, 1478.0)	(130, 1606.0)	(135, 1567.0)	(140, 1525.0)	(145, 1608.0)	(150, 1588.0)	(155, 1631.0)	(160, 1663.0)	(165, 1622.0)	(170, 1704.0)	(175, 1778.0)	(180, 1767.0)	(185, 1670.0)	(190, 1776.0)	(195, 1706.0)	(200, 1777.0)	(205, 1789.0)	(210, 1774.0)	(215, 1954.0)	(220, 1793.0)	(225, 1855.0)	(230, 1794.0)	(235, 2063.0)	(240, 2018.0)	(245, 40677.0)	(250, 487549.0)
ERR4436597_2	(35, 858.0)	(40, 903.0)	(45, 965.0)	(50, 1006.0)	(55, 1155.0)	(60, 1109.0)	(65, 1206.0)	(70, 1218.0)	(75, 1243.0)	(80, 1294.0)	(85, 1308.0)	(90, 1370.0)	(95, 1398.0)	(100, 1379.0)	(105, 1430.0)	(110, 1480.0)	(115, 1570.0)	(120, 1516.0)	(125, 1497.0)	(130, 1618.0)	(135, 1591.0)	(140, 1533.0)	(145, 1629.0)	(150, 1620.0)	(155, 1658.0)	(160, 1706.0)	(165, 1630.0)	(170, 1728.0)	(175, 1805.0)	(180, 1789.0)	(185, 1682.0)	(190, 1785.0)	(195, 1726.0)	(200, 1794.0)	(205, 1811.0)	(210, 1779.0)	(215, 1948.0)	(220, 1782.0)	(225, 1838.0)	(230, 1787.0)	(235, 2062.0)	(240, 1996.0)	(245, 39161.0)	(250, 488526.0)
ERR4436754_1	(35, 3439.0)	(40, 3379.0)	(45, 3814.0)	(50, 4113.0)	(55, 4353.0)	(60, 4560.0)	(65, 4645.0)	(70, 4842.0)	(75, 5169.0)	(80, 5231.0)	(85, 5319.0)	(90, 5531.0)	(95, 5421.0)	(100, 5643.0)	(105, 5711.0)	(110, 5891.0)	(115, 5778.0)	(120, 6029.0)	(125, 6226.0)	(130, 6058.0)	(135, 6273.0)	(140, 6409.0)	(145, 6509.0)	(150, 6680.0)	(155, 6677.0)	(160, 6831.0)	(165, 6901.0)	(170, 6980.0)	(175, 7152.0)	(180, 7294.0)	(185, 7383.0)	(190, 7527.0)	(195, 7803.0)	(200, 7730.0)	(205, 7867.0)	(210, 8065.0)	(215, 8252.0)	(220, 8300.0)	(225, 8503.0)	(230, 8521.0)	(235, 8802.0)	(240, 8881.0)	(245, 62803.0)	(250, 676951.0)
ERR4436754_2	(35, 3445.0)	(40, 3399.0)	(45, 3835.0)	(50, 4134.0)	(55, 4375.0)	(60, 4584.0)	(65, 4680.0)	(70, 4865.0)	(75, 5188.0)	(80, 5256.0)	(85, 5331.0)	(90, 5556.0)	(95, 5427.0)	(100, 5672.0)	(105, 5726.0)	(110, 5924.0)	(115, 5802.0)	(120, 6057.0)	(125, 6233.0)	(130, 6077.0)	(135, 6292.0)	(140, 6414.0)	(145, 6504.0)	(150, 6695.0)	(155, 6657.0)	(160, 6839.0)	(165, 6875.0)	(170, 6995.0)	(175, 7123.0)	(180, 7257.0)	(185, 7352.0)	(190, 7476.0)	(195, 7796.0)	(200, 7667.0)	(205, 7779.0)	(210, 7988.0)	(215, 8155.0)	(220, 8214.0)	(225, 8382.0)	(230, 8392.0)	(235, 8637.0)	(240, 8672.0)	(245, 60350.0)	(250, 680169.0)
ERR4783167_1	(151, 886065.0)																																											
ERR4783167_2	(151, 886065.0)																																											
ERR4783172_1	(151, 988791.0)																																											
ERR4783172_2	(151, 988791.0)																																											
