Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR10782680_2	(1.0, 91.42552661475392)	(2.0, 7.418804810270164)	(3.0, 0.8353005734267857)	(4.0, 0.17777223501813685)	(5.0, 0.06613829703737953)	(6.0, 0.04224204742736029)	(7.0, 0.020361172866321123)	(8.0, 0.005502693760354836)	(9.0, 0.003953216323491892)	('>10', 0.004398339116094506)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782688_1	(1.0, 89.29416515706289)	(2.0, 9.690539866589495)	(3.0, 0.8590434149205899)	(4.0, 0.1261180696761516)	(5.0, 0.01914211157961969)	(6.0, 0.00812304034672858)	(7.0, 0.0028683398245304467)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782688_2	(1.0, 85.39636322581795)	(2.0, 10.673622567566419)	(3.0, 1.1461231711546467)	(4.0, 0.15404224840506056)	(5.0, 0.027533107047542957)	(6.0, 0.02792755394250223)	(7.0, 0.009876813960430917)	(8.0, 0.011957666865449622)	(9.0, 0.004743042894844651)	('>10', 0.10300602246133908)	('>50', 0.048657818773784195)	('>100', 0.05706007098472115)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 2.339086690125316)
ERR10782695_1	(1.0, 84.97260878405403)	(2.0, 11.299115212305063)	(3.0, 2.164026820450137)	(4.0, 0.649770461391451)	(5.0, 0.3253828055332147)	(6.0, 0.18607509214460716)	(7.0, 0.11006350252388847)	(8.0, 0.07293264460216724)	(9.0, 0.04363874481713769)	('>10', 0.15797168856062851)	('>50', 0.0)	('>100', 0.018414243617637344)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782695_2	(1.0, 81.62407787754336)	(2.0, 12.14152717119082)	(3.0, 2.227828472757698)	(4.0, 0.7143354946677467)	(5.0, 0.35281593159049857)	(6.0, 0.19603144869262557)	(7.0, 0.10686395171576644)	(8.0, 0.08367667740478557)	(9.0, 0.06789443220637015)	('>10', 0.23549082443441335)	('>50', 0.032951481598728335)	('>100', 0.0752918785022998)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 2.1412143576949005)
ERR10782717_1	(1.0, 92.54398967687801)	(2.0, 6.675199114071481)	(3.0, 0.5787074260664978)	(4.0, 0.10456858726735187)	(5.0, 0.03374950880192215)	(6.0, 0.017029605674800562)	(7.0, 0.0)	(8.0, 0.004660750697877037)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.042095330542077015)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782717_2	(1.0, 94.03312532053219)	(2.0, 5.3885950710186)	(3.0, 0.46397869921691126)	(4.0, 0.08076295969909643)	(5.0, 0.023643906782223282)	(6.0, 0.005679361163833266)	(7.0, 0.004214681587139951)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782743_1	(1.0, 92.19548203359345)	(2.0, 5.824375901260713)	(3.0, 0.5540145158870334)	(4.0, 0.14250344133579787)	(5.0, 0.05463599152915209)	(6.0, 0.013452436805165587)	(7.0, 0.012730451094059085)	(8.0, 0.0028607487512213813)	(9.0, 0.0)	('>10', 0.043028662662864495)	('>50', 0.0)	('>100', 0.050662780232082386)	('>500', 0.0)	('>1k', 1.106253036848484)	('>5k', 0.0)	('>10k+', 0.0)
ERR10782743_2	(1.0, 93.63112401091233)	(2.0, 5.652701015891718)	(3.0, 0.5267280505183339)	(4.0, 0.11295765076590038)	(5.0, 0.047021036622787095)	(6.0, 0.0022484517585125703)	(7.0, 0.017856732780887636)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0093630507495317)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR10783123_1	(1.0, 92.16859040033769)	(2.0, 6.255273689036782)	(3.0, 0.5876816934153022)	(4.0, 0.11756104398545136)	(5.0, 0.04701054366336174)	(6.0, 0.022348990458575392)	(7.0, 0.005687319198034713)	(8.0, 0.0032146263792861116)	(9.0, 0.003559723174515818)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.7890719703510064)	('>5k', 0.0)	('>10k+', 0.0)
